state-code,urban-percentage,rural-percentage,p-value
00,59.60095185407026,80.49274855253414,0.3324073878903311
01,41.281389427252726,54.246700175449,0.5689967277343175
02,62.06720770544563,84.10767399875324,0.2795806885959278
03,42.76410774500137,59.16108401014011,0.5236891340259475
04,44.644939544589704,59.56331275223345,0.5920836332028832
05,69.74671223721346,88.13078783803333,0.2638684557722577
06,67.54370538321031,83.29709833071048,0.2707906826365598
07,58.95569396573343,76.44317276072566,0.39906995838486337
08,81.07611500059977,91.7534039378993,0.23660086735709474
09,73.13025042800815,92.97058438018725,0.217138750029783
10,75.91831819245697,84.91440289059399,0.316181670500719
11,25.269895427730535,39.993304142897465,0.8288549720438243
12,28.385885199877745,38.23237599380321,0.8679294567952576
13,25.70853605994052,42.769208034465905,0.747793006007206
14,48.36181328627568,52.61876496309927,0.7457949238509411
15,67.38309567991381,76.55104817912778,0.3326460375521074
16,71.93206532196582,63.17956662281969,0.5840667086626801
17,41.45234696448065,80.02487097496498,0.3474292715191385
18,39.09952434238436,56.04937868172958,0.5569001503327624
19,72.30515778330472,88.79344139621958,0.35635272778447113
20,62.027658680552186,72.10803975705838,0.39608668117281787
21,45.83356178544463,71.31475038919878,0.46796235537129793
22,78.28262540302838,89.31652811834948,0.3034762297935383
23,77.68081814084672,89.85993486284063,0.26170060267784323
24,43.89607910761057,67.00253921293651,0.4294518764772717
25,51.9663551197423,52.316378568117095,0.6387742931409113
26,44.798405927955415,39.74682438262503,0.8649336987406011
27,34.98165098493437,60.39599926402064,0.4904343459936866
28,62.00831529736534,80.72728179855179,0.35914705500183164
29,42.81654224280899,71.33001693251295,0.4287302255734835
30,21.338885372303473,25.173318156855423,0.7214047821843965
31,70.1064928872288,75.19977370765858,0.38691627151461017
32,72.70200062428906,78.17273462771594,0.38153786722509153
33,64.70000950814264,78.26885281304467,0.3651525371087443
34,63.493414857526155,79.50885627530364,0.3931570062031349
35,26.94511039250669,35.637070685342884,0.7208455633648518
