state-code,urban-percentage,rural-percentage,p-value
0,13.424759674746731,4.243962545210197,0.5576205846204044
1,24.39373629939282,13.819891392898159,1.0468022193811002
2,9.653446653266565,4.546870572615183,0.4813438174141255
3,34.60902462567599,24.393583742615395,0.9230074465799851
4,30.943856500844163,15.01500465661757,1.1191256000820027
5,3.843817904082788,1.0034313141737177,0.459726594555121
6,6.871713663593378,3.4099870261468057,0.46920046860904513
7,8.264202742041478,1.3063129710148387,0.6650538065947278
8,2.33013854635286,1.1835006486945954,0.423059858466171
9,2.9617128534012864,0.8162955315248314,0.39738607714466034
10,3.571146696857701,1.3673991381290627,0.5335132722161787
11,41.168656969097135,25.85913754734693,2.8783945959641404
12,39.71307846702104,27.43112538190739,3.752692673769116
13,40.50941737336374,21.753333484898434,1.9184109315974072
14,28.859778889749375,18.602866979284144,1.9023033571653327
15,6.09492261762139,3.4480002283821976,0.5579802679823427
16,9.059621219133957,4.109658229565443,1.0931982916735734
17,25.464438659837096,5.199501231109044,0.5805714106646079
18,31.44505611177522,11.076842742095227,1.0115917060277022
19,7.620148652930351,1.067934633635984,0.5945199419652879
20,8.330164106893921,3.720611789875847,0.6599043071916404
21,30.901189321691415,9.611126638456653,0.7957338254853585
22,3.791763744650921,1.006953247204031,0.5150820039732813
23,3.464053867067808,1.0707111789615789,0.4567748057835611
24,21.515887130758134,8.737057679479829,0.7197150750725985
25,14.652914121333763,12.929664216173256,1.2907143570040411
26,19.8374793735795,21.65754666491912,-3.667963635647522
27,26.863875836439025,9.865760769603337,0.8442796046401096
28,14.114084178875459,4.189923150298052,0.5989390165121967
29,24.481297311830097,5.466301977336935,0.7183666917281856
30,52.87390798995163,47.44721612524944,-1.723663135511276
31,15.842803782881665,14.192772788345945,0.6442985688416789
32,11.474606157568601,7.786231403970034,0.635297265086208
33,5.379815931523044,1.5274651157855887,0.6085221571163929
34,7.814220530446683,1.2725202429149798,0.6548825125426164
35,24.09400089206066,16.084827472763852,1.7199193218344488
